Time	OTF	Violation	Algorithm	Param	States	StateConfig	OtfStateConfig	AlgorithmParam	AlgorithmStateConfig	AlgorithmParamStateConfig	ExecutionTime	ExecutionTimeNormalized
50430	0.1969066032123736	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	751.338635	4.4695933075550265
37230	0.1941982272360999	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	461.588526	3.719488525382756
47130	0.1979630808402292	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	448.435224	2.8544571865054107
60930	0.1974396848842935	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	698.522137	3.439301511570655
49230	0.1956124314442413	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	452.184518	2.7555424619134676
54630	0.1982427237781439	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	520.920529	2.8606289346512903
55830	0.199355185384202	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	554.001119	2.976900155830199
20130	0.195230998509687	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	123.222364	1.836398867362146
35730	0.1939546599496222	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	323.072583	2.712616146095718
18330	0.1980360065466448	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	98.558896	1.6130752209492636
35430	0.1955969517358171	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	294.452979	2.4932513039796786
25830	0.1986062717770035	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	134.595202	1.5632427642276423
51330	0.1992986557568673	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	512.245587	2.993837445938048
38130	0.1974822974036192	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	235.816165	1.8553592840283244
15330	0.1976516634050881	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	52.411778	1.0256708023483365
37230	0.1941982272360999	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	267.674092	2.156922578565673
39930	0.1960931630353118	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	318.998516	2.3966830653643876
33330	0.1989198919891989	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	221.546059	1.9941139423942396
18330	0.1980360065466448	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	67.774595	1.1092405073649756
29730	0.1927346115035318	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	133.668691	1.348826347124117
52230	0.1958644457208501	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	449.005993	2.5790120218265367
35130	0.197267292912041	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	308.04689	2.6306309991460295
42330	0.1991495393338058	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	313.381142	2.2209861233167967
26130	0.1963260619977038	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	127.655172	1.465616211251435
25230	0.1914387633769322	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	156.691368	1.863155386444709
26130	0.1963260619977038	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	158.077369	1.814895166475316
47430	0.1967109424414927	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	403.554696	2.5525281214421254
29730	0.1927346115035318	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	203.433361	2.0528088900100907
15930	0.1902071563088512	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	73.52692	1.384687758945386
49230	0.1956124314442413	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	442.318326	2.6954194149908592
39930	0.1960931630353118	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	292.180421	2.1951947483095418
15630	0.1938579654510557	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	57.012068	1.0942815355086373
62730	0.1965566714490674	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	739.45868	3.536387757054041
16230	0.1866913123844732	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	50.034404	0.9248503512014787
21330	0.1983122362869198	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	118.510111	1.6668088748241914
41730	0.194823867721064	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	283.271972	2.0364627749820277
26430	0.1940976163450624	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	140.288608	1.5923792054483543
46830	0.1992312620115311	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	413.98443	2.6520463164638053
24930	0.1937424789410349	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	131.119109	1.5778472803850785
38730	0.1944229279628195	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	261.595263	2.026299481022463
45630	0.197896120973044	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	395.245127	2.598587291255753
18930	0.1917591125198098	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	63.328837	1.0036265768621235
41430	0.1962346125995655	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	279.890171	2.026721006517017
13230	0.1836734693877551	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	37.287688	0.8455258049886621
